city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa_(BRL),rent_amount_(BRL),property_tax_(BRL),fire_insurance_(BRL),total_(BRL)
3.0,90.0,2.0,1.0,1.0,1.0,0.0,0.0,850.0,3468.0,191.0,45.0,4554.0
3.0,109.0,3.0,3.0,1.0,1.0,0.0,1.0,2000.0,3800.0,300.0,49.0,6149.0
0.0,400.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,2500.0,74.0,41.0,2615.0
4.0,300.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,14000.0,1167.0,211.0,15380.0
1.0,284.0,4.0,3.0,3.0,27.0,0.0,1.0,2340.0,6000.0,483.0,77.0,8900.0
2.0,70.0,2.0,1.0,1.0,23.0,0.0,0.0,360.0,2400.0,30.0,36.0,2826.0
3.0,309.0,4.0,5.0,4.0,32.0,0.0,1.0,2661.0,6500.0,682.0,84.0,9927.0
4.0,70.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2100.0,134.0,32.0,2266.0
4.0,360.0,3.0,4.0,1.0,2.0,0.0,1.0,2300.0,10000.0,584.0,127.0,13010.0
4.0,30.0,1.0,1.0,1.0,2.0,1.0,1.0,886.0,1500.0,0.0,20.0,2406.0
1.0,80.0,2.0,2.0,2.0,3.0,0.0,1.0,832.0,2200.0,171.0,28.0,3231.0
0.0,133.0,4.0,4.0,3.0,31.0,1.0,1.0,1500.0,7000.0,800.0,94.0,9394.0
4.0,38.0,1.0,1.0,1.0,6.0,1.0,0.0,1620.0,2800.0,279.0,36.0,4735.0
4.0,73.0,2.0,2.0,1.0,32.0,0.0,1.0,1100.0,3500.0,100.0,45.0,4745.0
4.0,155.0,3.0,4.0,2.0,27.0,0.0,1.0,1500.0,2000.0,150.0,26.0,3676.0
4.0,63.0,2.0,2.0,1.0,7.0,0.0,1.0,357.0,3200.0,50.0,41.0,3648.0
4.0,58.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1400.0,0.0,18.0,1418.0
4.0,48.0,1.0,1.0,0.0,34.0,1.0,0.0,377.0,3450.0,0.0,44.0,3871.0
4.0,210.0,3.0,4.0,3.0,32.0,0.0,1.0,1700.0,2790.0,834.0,36.0,5360.0
0.0,100.0,3.0,2.0,2.0,12.0,0.0,1.0,340.0,1600.0,183.0,22.0,2145.0
4.0,94.0,3.0,2.0,2.0,1.0,0.0,1.0,1337.0,3570.0,140.0,46.0,5093.0
4.0,94.0,3.0,3.0,2.0,23.0,0.0,0.0,1220.0,5010.0,395.0,64.0,6689.0
4.0,76.0,3.0,1.0,1.0,27.0,0.0,1.0,1200.0,2500.0,267.0,32.0,3999.0
4.0,192.0,3.0,3.0,2.0,5.0,0.0,1.0,2100.0,7800.0,634.0,99.0,10630.0
4.0,217.0,3.0,4.0,3.0,1.0,0.0,1.0,2884.0,6500.0,0.0,83.0,9467.0
4.0,68.0,2.0,1.0,1.0,29.0,0.0,1.0,610.0,1400.0,35.0,18.0,2063.0
4.0,110.0,3.0,2.0,2.0,12.0,0.0,1.0,1145.0,2400.0,247.0,31.0,3823.0
0.0,95.0,2.0,2.0,1.0,23.0,0.0,1.0,660.0,1600.0,164.0,22.0,2446.0
4.0,900.0,4.0,6.0,8.0,0.0,0.0,1.0,0.0,15000.0,4417.0,226.0,19640.0
4.0,34.0,1.0,1.0,0.0,29.0,1.0,1.0,347.0,1200.0,45.0,16.0,1608.0
4.0,192.0,3.0,4.0,3.0,29.0,0.0,1.0,2000.0,8000.0,0.0,102.0,10100.0
2.0,62.0,2.0,2.0,1.0,34.0,0.0,1.0,350.0,1800.0,75.0,27.0,2252.0
4.0,180.0,3.0,3.0,4.0,0.0,0.0,1.0,0.0,3700.0,184.0,56.0,3940.0
1.0,44.0,1.0,1.0,0.0,23.0,0.0,0.0,350.0,916.0,12.0,12.0,1290.0
0.0,100.0,2.0,1.0,1.0,1.0,1.0,1.0,250.0,1700.0,116.0,23.0,2089.0
3.0,140.0,3.0,3.0,1.0,17.0,1.0,1.0,900.0,1370.0,100.0,18.0,2388.0
4.0,170.0,3.0,3.0,3.0,33.0,0.0,0.0,1570.0,2800.0,648.0,36.0,5054.0
4.0,100.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1600.0,150.0,25.0,1775.0
4.0,75.0,3.0,2.0,2.0,27.0,0.0,1.0,652.0,1600.0,82.0,21.0,2355.0
3.0,52.0,2.0,1.0,0.0,12.0,0.0,1.0,200.0,1200.0,43.0,16.0,1459.0
1.0,999.0,5.0,7.0,8.0,0.0,0.0,1.0,0.0,14000.0,667.0,211.0,14880.0
4.0,270.0,4.0,4.0,4.0,33.0,0.0,1.0,2200.0,7000.0,1500.0,89.0,10790.0
0.0,50.0,2.0,1.0,1.0,1.0,0.0,1.0,160.0,930.0,60.0,13.0,1163.0
1.0,200.0,3.0,3.0,2.0,0.0,0.0,1.0,650.0,2210.0,184.0,34.0,3078.0
4.0,71.0,2.0,2.0,0.0,8.0,0.0,1.0,430.0,1920.0,100.0,25.0,2475.0
4.0,500.0,5.0,4.0,6.0,0.0,0.0,1.0,0.0,13000.0,250.0,196.0,13450.0
4.0,60.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1080.0,94.0,17.0,1191.0
4.0,110.0,2.0,1.0,0.0,33.0,0.0,1.0,1100.0,1300.0,84.0,17.0,2501.0
4.0,210.0,3.0,3.0,4.0,0.0,0.0,1.0,0.0,3294.0,276.0,50.0,3620.0
4.0,220.0,3.0,4.0,3.0,33.0,0.0,1.0,2021.0,6000.0,996.0,77.0,9094.0
0.0,200.0,3.0,2.0,5.0,0.0,1.0,1.0,0.0,4000.0,204.0,66.0,4270.0
4.0,130.0,3.0,4.0,3.0,12.0,0.0,1.0,2300.0,4250.0,502.0,54.0,7106.0
4.0,65.0,2.0,2.0,2.0,32.0,0.0,0.0,1037.0,4000.0,245.0,51.0,5333.0
4.0,96.0,3.0,2.0,2.0,9.0,0.0,1.0,804.0,3200.0,250.0,41.0,4295.0
4.0,660.0,4.0,5.0,5.0,4.0,0.0,0.0,4800.0,20000.0,1750.0,254.0,26800.0
3.0,107.0,3.0,2.0,0.0,32.0,0.0,0.0,1460.0,3200.0,270.0,42.0,4972.0
3.0,105.0,3.0,2.0,0.0,1.0,0.0,1.0,740.0,2200.0,9.0,29.0,2978.0
3.0,100.0,3.0,2.0,0.0,32.0,0.0,1.0,900.0,3290.0,109.0,43.0,4342.0
4.0,287.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,9000.0,430.0,136.0,9566.0
1.0,24.0,1.0,1.0,0.0,1.0,1.0,0.0,230.0,1180.0,9.0,15.0,1434.0
4.0,22.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,976.0,0.0,15.0,991.0
4.0,70.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2529.0,142.0,39.0,2710.0
2.0,44.0,1.0,1.0,1.0,12.0,0.0,0.0,250.0,1500.0,17.0,22.0,1789.0
4.0,150.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,2500.0,0.0,38.0,2538.0
4.0,90.0,1.0,2.0,2.0,34.0,0.0,0.0,998.0,2900.0,220.0,37.0,4155.0
4.0,200.0,4.0,4.0,2.0,33.0,0.0,0.0,3000.0,2800.0,830.0,36.0,6666.0
4.0,320.0,8.0,4.0,0.0,0.0,0.0,1.0,450.0,10500.0,350.0,158.0,11460.0
2.0,90.0,2.0,1.0,1.0,12.0,1.0,1.0,550.0,1700.0,110.0,25.0,2385.0
4.0,240.0,4.0,4.0,3.0,34.0,0.0,1.0,2500.0,2144.0,834.0,28.0,5506.0
4.0,154.0,4.0,3.0,3.0,14.0,0.0,1.0,1684.0,7000.0,1020.0,89.0,9793.0
4.0,60.0,2.0,2.0,2.0,12.0,0.0,1.0,2340.0,3230.0,284.0,41.0,5895.0
1.0,101.0,3.0,2.0,0.0,29.0,0.0,1.0,780.0,2380.0,91.0,31.0,3282.0
2.0,140.0,3.0,4.0,2.0,0.0,1.0,1.0,0.0,3090.0,0.0,55.0,3145.0
4.0,500.0,4.0,5.0,8.0,0.0,0.0,1.0,0.0,15000.0,1850.0,226.0,17080.0
4.0,110.0,3.0,3.0,3.0,27.0,0.0,1.0,1195.0,2350.0,687.0,30.0,4262.0
4.0,110.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,4800.0,50.0,73.0,4923.0
0.0,90.0,2.0,2.0,2.0,23.0,0.0,1.0,200.0,2000.0,84.0,27.0,2311.0
4.0,384.0,4.0,6.0,4.0,23.0,1.0,0.0,3500.0,15000.0,344.0,191.0,19040.0
4.0,57.0,2.0,1.0,1.0,32.0,0.0,1.0,570.0,1500.0,67.0,20.0,2157.0
4.0,160.0,3.0,3.0,2.0,29.0,0.0,0.0,1650.0,1500.0,419.0,20.0,3589.0
4.0,39.0,1.0,1.0,0.0,33.0,0.0,1.0,330.0,1250.0,19.0,16.0,1615.0
1.0,78.0,1.0,2.0,1.0,27.0,0.0,1.0,0.0,2290.0,143.0,30.0,2463.0
2.0,36.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,762.0,15.0,14.0,791.0
1.0,70.0,2.0,1.0,1.0,1.0,0.0,1.0,558.0,1200.0,0.0,16.0,1774.0
0.0,45.0,1.0,1.0,1.0,27.0,1.0,0.0,300.0,3200.0,0.0,43.0,3543.0
4.0,200.0,3.0,4.0,3.0,1.0,0.0,1.0,3500.0,8500.0,1250.0,108.0,13360.0
4.0,100.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,4300.0,120.0,65.0,4485.0
4.0,42.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,5000.0,0.0,64.0,5064.0
4.0,280.0,4.0,4.0,1.0,1.0,0.0,0.0,3000.0,8000.0,292.0,102.0,11390.0
4.0,28.0,1.0,1.0,1.0,5.0,1.0,0.0,615.0,2800.0,42.0,36.0,3493.0
4.0,30.0,1.0,1.0,0.0,0.0,1.0,0.0,296.0,1826.0,30.0,24.0,2176.0
0.0,85.0,3.0,2.0,1.0,1.0,0.0,1.0,337.0,1500.0,88.0,20.0,1945.0
1.0,83.0,1.0,1.0,1.0,27.0,1.0,1.0,500.0,1080.0,59.0,14.0,1653.0
1.0,85.0,3.0,2.0,2.0,8.0,0.0,0.0,550.0,3300.0,150.0,42.0,4042.0
0.0,90.0,3.0,2.0,2.0,23.0,0.0,1.0,325.0,1600.0,105.0,22.0,2052.0
0.0,50.0,2.0,1.0,0.0,29.0,0.0,1.0,0.0,900.0,100.0,12.0,1012.0
3.0,50.0,1.0,1.0,0.0,33.0,0.0,1.0,600.0,2900.0,134.0,38.0,3672.0
0.0,300.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0,6700.0,539.0,110.0,7349.0
2.0,39.0,1.0,1.0,0.0,32.0,0.0,1.0,350.0,850.0,27.0,13.0,1240.0
4.0,750.0,4.0,4.0,6.0,0.0,0.0,1.0,0.0,15000.0,2084.0,226.0,17310.0
2.0,60.0,2.0,1.0,0.0,1.0,0.0,1.0,222.0,1100.0,46.0,17.0,1385.0
3.0,68.0,2.0,1.0,0.0,27.0,1.0,1.0,750.0,1250.0,9.0,17.0,2026.0
4.0,70.0,2.0,1.0,1.0,0.0,0.0,1.0,230.0,1250.0,50.0,16.0,1546.0
4.0,90.0,2.0,2.0,1.0,31.0,0.0,0.0,900.0,6500.0,89.0,83.0,7572.0
3.0,258.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,8700.0,670.0,133.0,9503.0
4.0,200.0,2.0,2.0,6.0,0.0,0.0,1.0,0.0,4500.0,292.0,68.0,4860.0
4.0,123.0,2.0,2.0,2.0,31.0,0.0,1.0,1800.0,2990.0,625.0,38.0,5453.0
4.0,127.0,3.0,2.0,2.0,0.0,0.0,0.0,220.0,2150.0,67.0,33.0,2470.0
0.0,180.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,1800.0,210.0,30.0,2040.0
4.0,110.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,2900.0,384.0,44.0,3328.0
3.0,70.0,2.0,2.0,1.0,32.0,0.0,0.0,585.0,1719.0,77.0,23.0,2404.0
4.0,35.0,1.0,1.0,1.0,33.0,0.0,0.0,720.0,3000.0,130.0,39.0,3889.0
4.0,219.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,2900.0,150.0,44.0,3094.0
3.0,25.0,1.0,1.0,0.0,0.0,0.0,1.0,50.0,700.0,0.0,10.0,760.0
3.0,170.0,4.0,5.0,0.0,2.0,0.0,1.0,1200.0,7100.0,639.0,92.0,9031.0
3.0,45.0,1.0,1.0,0.0,33.0,0.0,1.0,900.0,1570.0,98.0,21.0,2589.0
0.0,420.0,4.0,4.0,2.0,0.0,1.0,1.0,0.0,7000.0,200.0,115.0,7315.0
2.0,46.0,1.0,1.0,0.0,27.0,0.0,1.0,0.0,1040.0,48.0,16.0,1104.0
4.0,145.0,3.0,3.0,2.0,1.0,0.0,0.0,1088.0,5800.0,250.0,74.0,7212.0
0.0,59.0,2.0,2.0,1.0,12.0,0.0,1.0,190.0,1100.0,59.0,15.0,1364.0
0.0,225.0,4.0,3.0,0.0,33.0,0.0,1.0,1850.0,7500.0,466.0,100.0,9916.0
4.0,210.0,4.0,4.0,3.0,23.0,0.0,1.0,2270.0,4675.0,1110.0,60.0,8115.0
2.0,76.0,1.0,1.0,0.0,0.0,0.0,1.0,209.0,1249.0,52.0,19.0,1529.0
4.0,220.0,3.0,4.0,3.0,12.0,1.0,1.0,2500.0,5150.0,1250.0,66.0,8966.0
4.0,109.0,3.0,2.0,2.0,32.0,0.0,1.0,1746.0,2500.0,134.0,32.0,4412.0
0.0,95.0,2.0,1.0,1.0,23.0,0.0,1.0,646.0,1000.0,120.0,14.0,1780.0
4.0,32.0,1.0,1.0,0.0,0.0,1.0,1.0,280.0,1500.0,50.0,20.0,1850.0
4.0,480.0,4.0,6.0,5.0,34.0,0.0,1.0,6660.0,15000.0,3063.0,191.0,24910.0
4.0,53.0,1.0,1.0,1.0,23.0,0.0,1.0,694.0,4390.0,200.0,56.0,5340.0
4.0,40.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,780.0,17.0,12.0,809.0
4.0,50.0,1.0,1.0,1.0,27.0,0.0,0.0,500.0,3223.0,100.0,41.0,3864.0
4.0,60.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1300.0,255.0,20.0,1575.0
2.0,64.0,2.0,2.0,2.0,32.0,1.0,1.0,450.0,1500.0,50.0,22.0,2022.0
3.0,140.0,3.0,3.0,2.0,27.0,0.0,0.0,2280.0,12000.0,535.0,155.0,14970.0
4.0,121.0,3.0,3.0,1.0,4.0,0.0,1.0,800.0,2040.0,334.0,26.0,3200.0
1.0,43.0,1.0,1.0,1.0,27.0,0.0,0.0,498.0,2100.0,84.0,27.0,2709.0
4.0,20.0,1.0,1.0,1.0,23.0,1.0,0.0,1700.0,1360.0,0.0,18.0,3078.0
1.0,58.0,2.0,1.0,1.0,23.0,0.0,1.0,289.0,950.0,11.0,13.0,1263.0
0.0,570.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,8330.0,873.0,137.0,9340.0
4.0,88.0,2.0,1.0,1.0,12.0,0.0,1.0,980.0,2790.0,0.0,36.0,3806.0
4.0,89.0,3.0,2.0,2.0,11.0,0.0,1.0,900.0,6000.0,184.0,77.0,7161.0
2.0,47.0,1.0,1.0,1.0,1.0,1.0,0.0,400.0,2200.0,0.0,33.0,2633.0
4.0,40.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1100.0,50.0,17.0,1167.0
3.0,40.0,1.0,1.0,0.0,1.0,0.0,0.0,386.0,1950.0,91.0,26.0,2453.0
3.0,60.0,1.0,2.0,1.0,23.0,0.0,1.0,400.0,750.0,80.0,10.0,1240.0
4.0,25.0,1.0,1.0,0.0,6.0,0.0,1.0,257.0,1650.0,0.0,21.0,1928.0
2.0,50.0,2.0,1.0,0.0,5.0,0.0,1.0,340.0,1130.0,30.0,17.0,1517.0
2.0,90.0,3.0,1.0,0.0,1.0,0.0,1.0,145.0,1130.0,55.0,17.0,1347.0
4.0,173.0,3.0,3.0,3.0,12.0,0.0,1.0,3000.0,2000.0,825.0,26.0,5851.0
1.0,91.0,3.0,2.0,2.0,4.0,0.0,1.0,700.0,2250.0,175.0,29.0,3154.0
4.0,90.0,3.0,2.0,2.0,31.0,1.0,1.0,1710.0,1200.0,109.0,16.0,3035.0
